z23-CER,z22,z21,z20,
0,0,0,0,
0.001259439,9.69E-05,0,0,
0.00362869,0.000775227,0,0,
0.037054843,0.018202681,0.001840184,0,
0.018583316,0.004449361,0.000193863,0,0
0.0433818,0.021101298,0.002759006,0,0
0.069991415,0.031202741,0.005558606,0.000581477,0
0.223291768,0.110898546,0.043010779,0.009647281,0.000726793
0,0,0,0,
0.000581477,4.85E-05,0,0,
0.001162616,0.000387689,0,0,
0.017488593,0.00897501,0.000726793,0,
0.009503262,0.001356253,9.69E-05,0,0
0.020009383,0.01055892,0.000823659,0,0
0.034016173,0.015295484,0.001888564,0.000193863,0
0.113652507,0.056048604,0.020009383,0.004497615,0.000339236
0,0,0,0,
9.69E-05,0,0,0,
0.000436139,9.69E-05,0,0,
0.01271472,0.007244218,0.000145401,0,
0.007292336,0.000581477,4.85E-05,0,0
0.015390938,0.008542595,0.000290781,0,0
0.02729732,0.0121403,0.000823659,4.85E-05,0
0.094018595,0.044864447,0.015152285,0.003193943,4.85E-05
