z23-CER,z22,z21,z20
0,0,0,0
0.000971031,0,0,0
0.002668067,0.000485633,0,0
0.02588961,0.008464627,0.000485633,0
0.007621398,0.001213641,0,0
0.018646857,0.005449801,0,0
0.040564784,0.013748546,0.001213641,0
0.100590138,0.049032635,0.01207036,0.001092344
0.000485633,0,0,0
0.000849704,0.00012143,0,0
0.014107787,0.003636508,0.00012143,0
0.002789174,0.000485633,0,0
0.008825792,0.00181991,0,0
0.021740492,0.005932788,0.000364247,0
0.057311293,0.026244429,0.004966579,0.000242846
0.000242846,0,0,0
0.000971031,0,0,0
0.00930714,0.003273453,0,0
0.002668067,0.000242846,0,0
0.006536193,0.001698685,0,0
0.013389175,0.004845737,0.000242846,0
0.038582021,0.016499381,0.003999431,0.00012143
