z23-CER,z22,z21,z20,
0,0,0,0,
0.000236714,0,0,0,
0.000591681,5.92E-05,0,0,
0.01235209,0.002541747,5.92E-05,0,
0.00265981,0.000295884,0,0,
0.007077122,0.001773993,0,0,
0.021544926,0.005194799,0.000236714,0,
0.063917891,0.026627851,0.004311233,0.000177541,
0,0,0,0,
0.000118364,0,0,0,
0.005077036,0.000591681,0,0,
0.000414912,0,0,0,
0.001303429,0.000355649,0,0,
0.004908608,0.000829652,0,0,
0.014186242,0.006028873,0.000533426,0,
0.000118364,0,0,0,
0.000473373,0.000118364,0,0,
0.006430476,0.000946522,0.000118364,0,
0.000355649,0.000118564,0,0,0
0.000948117,0.00017784,0,0,0
0.003728018,0.000651927,0.000118564,0,0
0.012255679,0.004613591,0.000533426,0.000118564,0
