z23-CER,z22,z21,z20
0,0,0,0
0.000971031,0,0,0
0.002668067,0.000485633,0,0
0.02588961,0.008464627,0.000485633,0
0.007621398,0.001213641,0,0
0.018646857,0.005449801,0,0
0.040564784,0.013748546,0.001213641,0
0.100590138,0.049032635,0.01207036,0.001092344
0.000485633,0,0,0
0.000849704,0.00012143,0,0
0.014107787,0.003636508,0.00012143,0
0.004486988,0.000728991,0,0
0.010518524,0.003276278,0,0
0.019854847,0.008592418,0.000607529,0
0.049420632,0.025082583,0.006904001,0.000486053
0.000242846,0,0,0
0.000971031,0,0,0
0.00930714,0.003273453,0,0
0.001093287,0.000243056,0,0
0.004607979,0.00097187,0,0
0.010638781,0.003276278,0.000121535,0
0.028867054,0.013640469,0.00267037,0.000121535
