z23-CER,z22,z21,z20,
0,0,0,0,
0.000414912,0,0,0,
0.001540234,0.000118564,0,0,
0.019374131,0.00449556,0.000118564,0,
0.004259456,0.000533426,0,0,
0.0109079,0.003432651,0,0,
0.027883199,0.008441994,0.000414912,0,
0.090120949,0.035403899,0.006441285,0.000296383,
0.000118564,0,0,0,
0.000296383,0,0,0,
0.002013675,0.000651927,0,0,
0.000592679,0.00017784,0,0,
0.001244219,0.000474171,0,0,
0.003196295,0.001066568,0.000118564,0,
0.011376901,0.003964248,0.000829652,5.93E-05,
1.19E-04,5.93E-05,0,0,0
2.96E-04,0.000118564,0,0,0
2.67E-03,0.001954507,0.000118564,0,0
7.71E-04,0.00017784,5.93E-05,0,0
1.72E-03,0.000651927,0.00017784,0,0
4.38E-03,0.002723415,0.000474171,5.93E-05,0
1.62E-02,0.008735876,0.003609882,0.000355649,0
