z23-CER,z22,z21,z20
0,0,0,0
0.00072151,0,0,0
0.001202228,0.000120288,0,0
0.019653049,0.004081683,0.000120288,0
0.003482482,0.000961898,0,0
0.010172998,0.00252301,0,0
0.029859595,0.007311151,0.00072151,0
0.082858037,0.036373056,0.005398658,0.000601295
0.000240561,0,0,0
0.000240561,0,0,0
0.003122788,0.000481065,0,0
0.00036082,0.000240561,0,0
0.001202228,0.00036082,0,0
0.003602351,0.000841712,0.000240561,0
0.013026597,0.004321263,0.000481065,0.000120288
0,0,0,0
0,0,0,0
0.003722206,0.000601295,0,0
0.000481065,0,0,0
0.002042928,0.000120288,0,0
0.005398658,0.001682715,0,0
0.014805918,0.006355365,0.000841712,0
